Series_Title,Certificate,Runtime,Genre,IMDB_Rating,Meta_score,Director,No_of_Votes,Gross,Released_date,Langunges,budget,revenue,country
Her,A,126 min,"Drama, Romance, Sci-Fi",6,90,Spike Jonze,540772,"$25,568,251 ",1/16/2014,English,"$23,000,000.00 ",48043998,AU
300,A,117 min,"Action, Drama",7.6,52,Zack Snyder,732876,"$210,614,939 ",4/5/2007,English,60000000,454161935,AU
21 Grams,UA,124 min,"Crime, Drama, Thriller",7.6,70,"Alejandro G. Iñárritu",224545,"$16,290,476 ",1/22/2004,English,20000000,59667625,AU
25Th Hour,R,135 min,Drama,7.6,68,Spike Lee,169708,"$13,060,843 ",6/5/2003,English,4500000,"$25,344,490.00 ",AU
50/50,R,100 min,"Comedy, Drama, Romance",7.6,72,Jonathan Levine,315426,"$35,014,192 ",3/8/2012,English,8000000,41334735,AU
A Hard Day'S Night,U,87 min,"Comedy, Music, Musical",7.6,96,Richard Lester,40351,"$13,780,024 ",7/7/1964,English,560000,1626784,GB
A Star Is Born,UA,136 min,"Drama, Music, Romance",7.6,88,Bradley Cooper,334312,"$215,288,866 ",10/18/2018,English,36000000,433888866,AU
American Psycho,A,101 min,"Comedy, Crime, Drama",7.6,64,Mary Harron,490062,"$15,070,285 ",4/13/2000,English,8000000,34270285,AU
Apollo 13,U,140 min,"Adventure, Drama, History",7.6,77,Ron Howard,269197,"$173,837,933 ",8/31/1995,English,65000000,335802271,AU
Baby Driver,UA,113 min,"Action, Crime, Drama",7.6,86,Edgar Wright,439406,"$107,825,862 ",8/10/2017,English,34000000,226977991,AU
Blood Simple,A,99 min,"Crime, Drama, Thriller",7.6,82,Joel Coen,87745,"$2,150,000 ",6/27/1985,English,1500000,2730877,AU
Blow,R,124 min,"Biography, Crime, Drama",7.6,52,Ted Demme,240714,"$52,990,775 ",4/4/2001,English,30000000,83282296,AU
Breakfast At Tiffany'S,A,115 min,"Comedy, Drama, Romance",7.6,76,Blake Edwards,166544,"$90,485,605 ",2/8/1962,English,2500000,9500000,AU
Bridge Of Spies,UA,142 min,"Drama, History, Thriller",7.6,81,Steven Spielberg,287659,"$72,313,754 ",10/22/2015,English,40000000,162498338,AU
Close Encounters Of The Third Kind,U,138 min,"Drama, Sci-Fi",7.6,90,Steven Spielberg,184966,"$132,088,635 ",1/27/1978,English,"$20,000,000.00 ",340800479,AU
Creed,A,133 min,"Drama, Sport",7.6,82,Ryan Coogler,247666,"$109,767,581 ",11/26/2015,English,37000000,173567581,AU
Dark City,A,100 min,"Mystery, Sci-Fi, Thriller",7.6,66,Alex Proyas,187927,"$14,378,331 ",5/29/1998,English,27000000,27257061,AU
Dark Waters,PG-13,126 min,"Biography, Drama, History",7.6,73,Todd Haynes,60408,"$90,485,605 ",3/5/2020,English,835001.4,13601384,AU
Dawn Of The Planet Of The Apes,UA,130 min,"Action, Adventure, Drama",7.6,79,Matt Reeves,411599,"$208,545,589 ",7/9/2014,English,170000000,710644566,AU
Dazed And Confused,U,102 min,Comedy,7.6,78,Richard Linklater,165465,"$7,993,039 ",5/27/1994,English,6900000,7961889,AU
Delicatessen,R,99 min,"Comedy, Crime",7.6,66,Marc Caro,80487,"$1,794,187 ",4/17/1991,French,4000000,1794187,FR
Despicable Me,U,95 min,"Animation, Comedy, Crime",7.6,72,Pierre Coffin,500851,"$251,513,985 ",9/9/2010,English,69000000,543464573,AU
Die Hard: With A Vengeance,A,128 min,"Action, Adventure, Thriller",7.6,58,John McTiernan,364420,"$100,012,499 ",5/25/1995,English,90000000,366101666,AU
